'CODPRO','REFPRO','NOMPRO','PERAVI','PERPRA','DATCAD','DATEXP','INATIV'
62,'986-A','BRINQ. MINI REG.INF. REF:986-A','55,20','55,20','12/12/2010 22:19:36','07/02/2013 01:15:08','N'
63,'986B','BRINQ. MINI REG.INF, REF:986B','244,47','296,08','12/12/2010 22:20:14','07/02/2013 01:15:08','N'
64,976,'BRINQ. MINI REG.INF. REF:976','244,39','295,93','12/12/2010 22:20:51','07/02/2013 01:15:08','N'
65,'986-C','BRINQ. MINI REG. INF. REF:986-C','244,27','295,87','12/12/2010 22:21:23','07/02/2013 01:15:08','N'
66,'LF428B','BRINQ. MUSIC INF. REF:LF428B','244,24','295,85','12/12/2010 22:22:49','07/02/2013 01:15:08','N'
67,'328AB','BRIN. MUSIC INF. REF:328AB','244,74','296,24','12/12/2010 22:23:25','07/02/2013 01:15:08','N'
68,'LF528ABCD','BRINQ. MUSIC INFANTIL REF:LF528ABCD','55,02','55,02','12/12/2010 22:24:04','07/02/2013 01:15:08','N'
69,'629B','BRINQUEDO MINI CARRO FRIC REF:629B','244,35','296,00','12/12/2010 22:25:49','07/02/2013 01:15:08','N'
70,'6659B','BRINQUEDO MINI CARRO FRIC REF:6659B','55,20','55,20','12/12/2010 22:26:50','07/02/2013 01:15:08','N'
71,'6639B','BRINQ. MINI CARRO FRIC REF:6639B','55,19','55,19','12/12/2010 22:28:32','07/02/2013 01:15:08','N'
72,'CY5097 A-F','BRIN. MUSIC INF. REF:CY5097 A-F','54,97','54,97','12/12/2010 22:29:37','07/02/2013 01:15:08','N'
73,82721,'BRINQ. MUSIC INF. REF:82721','55,24','55,24','12/12/2010 22:30:12','07/02/2013 01:15:08','N'
74,716,'BRINQ. MUSIC INF. REF:716','55,19','55,19','12/12/2010 22:30:42','07/02/2013 01:15:08','N'
75,'BB99','BRINQ. MUSIC INF.REF:BB99','55,21','55,21','12/12/2010 22:31:11','07/02/2013 01:15:08','N'
76,'326AB','BRINQUEDO MINI CARRO FRIC REF:326AB','55,24','55,24','12/12/2010 22:32:47','07/02/2013 01:15:08','N'
77,706,'BRINQUEDO MINI CARRO FRIC REF:706','244,58','296,25','12/12/2010 22:33:45','07/02/2013 01:15:08','N'
78,'326CD','BRINQUEDO MINI CARRO FRIC REF:326CD','244,40','296,03','12/12/2010 22:34:48','07/02/2013 01:15:08','N'
79,28123,'BRINQUEDO ROBO REF:28123 3 UNIDADES','50,00','50,00','24/02/2011 10:00:28','07/02/2013 01:15:08','N'
81,'306F','BRINQ.MUSICAL TELEF. MUS REF:306F','0,00','14,98','16/05/2011 10:29:41','07/02/2013 01:15:08','N'
82,512,'BRINQUEDO MIN CARR FRI IN REF:512','55,21','55,21','16/05/2011 10:32:16','07/02/2013 01:15:08','N'
83,513,'BRINQUEDO MIN CARR FRI IN REF:513','0,00','14,98','16/05/2011 10:33:34','07/02/2013 01:15:08','N'
84,518,'BRINQUEDO MIN CARR FRI IN REF:518','55,21','55,21','16/05/2011 10:38:17','07/02/2013 01:15:08','N'
85,'BB510C','BRINQ. PIST. DE AGUA REF:BB510C','0,00','14,99','16/05/2011 10:39:49','07/02/2013 01:15:08','N'
86,'BB506C','BRINQ. PIST. DE AGUA REF:BB506C','0,00','14,96','16/05/2011 10:40:47','07/02/2013 01:15:08','N'
87,'BB503C','BRINQ. PIST. DE AGUA REF:BB503C','55,12','55,12','16/05/2011 10:42:13','07/02/2013 01:15:08','N'
88,'BB502C','BRINQ. PIST. DE AGUA REF:BB502C','0,00','14,96','16/05/2011 10:43:08','07/02/2013 01:15:08','N'
