'MATPRO','NOMPRO','VENAVI','VENPRA','DATCAD','DATEXP','INATIV'
'CX-20PCS','PECAS REP. HELICES REF:735-80A HEL CX-20PCS','0,38','0,38','12/12/2010 22:16:13','07/02/2013 01:15:08','N'
'CX-50PCS','PECAS REP. BATERIA REF:666 CX-50PCS',0,0,'12/12/2010 22:17:07','07/02/2013 01:15:08','N'
'CX-40PCS','PECAS REP. BATERIA REF:333 CX-40PCS',0,0,'12/12/2010 22:17:36','07/02/2013 01:15:08','N'
'CX-12PCS','BRINQ. MINI REG.INF. REF:986-A','44,96','44,96','12/12/2010 22:19:36','07/02/2013 01:15:08','N'
'CX-12PCS','BRINQ. MINI REG.INF, REF:986B','28,97','33,31','12/12/2010 22:20:14','07/02/2013 01:15:08','N'
'CX-12PCS','BRINQ. MINI REG.INF. REF:976','27,93','32,11','12/12/2010 22:20:51','07/02/2013 01:15:08','N'
'CX-12PCS','BRINQ. MINI REG. INF. REF:986-C','30,02','34,52','12/12/2010 22:21:23','07/02/2013 01:15:08','N'
'CX-18PCS','BRINQ. MUSIC INF. REF:LF428B','22,41','25,77','12/12/2010 22:22:49','07/02/2013 01:15:08','N'
'CX-48PCS','BRIN. MUSIC INF. REF:328AB','9,17','10,54','12/12/2010 22:23:25','07/02/2013 01:15:08','N'
'CX-96PCS','BRINQ. MUSIC INFANTIL REF:LF528ABCD','6,79','6,79','12/12/2010 22:24:04','07/02/2013 01:15:08','N'
'CX-32PCS','BRINQUEDO MINI CARRO FRIC REF:629B','19,8','22,77','12/12/2010 22:25:49','07/02/2013 01:15:08','N'
'CX-32PCS','BRINQUEDO MINI CARRO FRIC REF:6659B','42,06','42,06','12/12/2010 22:26:50','07/02/2013 01:15:08','N'
'CX-36PCS','BRINQ. MINI CARRO FRIC REF:6639B','23,62','23,62','12/12/2010 22:28:32','07/02/2013 01:15:08','N'
'CX-96PCS','BRIN. MUSIC INF. REF:CY5097 A-F','9,05','9,05','12/12/2010 22:29:37','07/02/2013 01:15:08','N'
'CX-72PCS','BRINQ. MUSIC INF. REF:82721','19,25','19,25','12/12/2010 22:30:12','07/02/2013 01:15:08','N'
'CX-36PCS','BRINQ. MUSIC INF. REF:716','35,26','35,26','12/12/2010 22:30:42','07/02/2013 01:15:08','N'
'CX-24PCS','BRINQ. MUSIC INF.REF:BB99','39,64','39,64','12/12/2010 22:31:11','07/02/2013 01:15:08','N'
'CX-18PCS','BRINQUEDO MINI CARRO FRIC REF:326AB','47,41','47,41','12/12/2010 22:32:47','07/02/2013 01:15:08','N'
'CX-24PCS','BRINQUEDO MINI CARRO FRIC REF:706','24,81','28,53','12/12/2010 22:33:45','07/02/2013 01:15:08','N'
'CX-24PCS','BRINQUEDO MINI CARRO FRIC REF:326CD','24,28','27,92','12/12/2010 22:34:48','07/02/2013 01:15:08','N'
'3 UNIDADES','BRINQUEDO ROBO REF:28123 3 UNIDADES','4,2','4,2','24/02/2011 10:00:28','07/02/2013 01:15:08','N'
'CX-96PCS','BRINQ.MUSICAL TELEF. MUS REF:306F','10,68','12,28','16/05/2011 10:29:41','07/02/2013 01:15:08','N'
'CX-24PCS','BRINQUEDO MIN CARR FRI IN REF:512','45,91','45,91','16/05/2011 10:32:16','07/02/2013 01:15:08','N'
